	ensembl_gene_id	external_gene_id
1	ENSMUSG00000095309	Vmn1r125
2	ENSMUSG00000000126	Wnt9a
3	ENSMUSG00000086196	Gm13571
4	ENSMUSG00000054418	2900041M22Rik
5	ENSMUSG00000095268	Gm2913
6	ENSMUSG00000082399	Gm14036
7	ENSMUSG00000097090	Gm26724
8	ENSMUSG00000020063	Sirt1
9	ENSMUSG00000029623	Pdap1
10	ENSMUSG00000073944	Olfr619
11	ENSMUSG00000097523	1700022N22Rik
12	ENSMUSG00000085419	Gm11734
13	ENSMUSG00000083879	Gm14038
14	ENSMUSG00000080198	Gm13573
15	ENSMUSG00000001555	Fkbp10
16	ENSMUSG00000094221	Vmn1r124
17	ENSMUSG00000032855	Pkd1
18	ENSMUSG00000044292	Olfr978
19	ENSMUSG00000097518	Gm26694
20	ENSMUSG00000081243	Gm14037
21	ENSMUSG00000095264	Gm2854
22	ENSMUSG00000082330	Ldha-ps
23	ENSMUSG00000085336	Gm11732
24	ENSMUSG00000097732	D930048G16Rik
25	ENSMUSG00000073945	Olfr618
26	ENSMUSG00000086603	Gm13620
27	ENSMUSG00000087585	Gm14100
28	ENSMUSG00000094385	Vmn1r123
29	ENSMUSG00000030245	Golt1b
30	ENSMUSG00000083705	Gm8624
31	ENSMUSG00000096540	Gm2863
32	ENSMUSG00000087181	Gm13570
33	ENSMUSG00000047352	Olfr976
34	ENSMUSG00000078954	Arhgap8
35	ENSMUSG00000086588	Gm11729
36	ENSMUSG00000094001	Vmn1r122
37	ENSMUSG00000073946	Olfr617
38	ENSMUSG00000085975	Gm13572
39	ENSMUSG00000097006	9530082P21Rik
40	ENSMUSG00000086050	Gm16045
41	ENSMUSG00000085718	Rpl9-ps3
42	ENSMUSG00000081236	Gm13574
43	ENSMUSG00000094115	Spin2-ps6
44	ENSMUSG00000015468	Notch4
45	ENSMUSG00000084052	Gm11745
46	ENSMUSG00000081157	Gm13552
47	ENSMUSG00000078984	Gm11027
48	ENSMUSG00000021273	Fdft1
49	ENSMUSG00000017670	Elmo2
50	ENSMUSG00000087057	Gm11730
51	ENSMUSG00000094680	Vmn1r121
52	ENSMUSG00000097517	Gm26695
53	ENSMUSG00000047544	Olfr616
54	ENSMUSG00000080982	Gm13549
55	ENSMUSG00000094727	Gm2825
56	ENSMUSG00000025816	Sec61a2
57	ENSMUSG00000085707	Gm12212
58	ENSMUSG00000096975	Gm16386
59	ENSMUSG00000002129	Sf3a1
60	ENSMUSG00000083276	Gm13551
61	ENSMUSG00000043331	Olfr975
62	ENSMUSG00000082263	Gm11188
63	ENSMUSG00000047714	Ppp1r2
64	ENSMUSG00000097781	9330136K24Rik
65	ENSMUSG00000087455	5330411J11Rik
66	ENSMUSG00000093986	Vmn1r120
67	ENSMUSG00000058073	Gm11189
68	ENSMUSG00000097759	Gm26753
69	ENSMUSG00000073947	Olfr615
70	ENSMUSG00000056296	Synpr
71	ENSMUSG00000084250	Gm13550
72	ENSMUSG00000094211	Gm21789
73	ENSMUSG00000097379	Gm26873
74	ENSMUSG00000082989	Gm13557
75	ENSMUSG00000074754	Gm561
76	ENSMUSG00000094010	Vmn1r119
77	ENSMUSG00000097566	A930024N18Rik
78	ENSMUSG00000094361	Gm21657
79	ENSMUSG00000061024	Rrs1
80	ENSMUSG00000082800	Gm13560
81	ENSMUSG00000078624	Olfr613
82	ENSMUSG00000051493	Olfr974
83	ENSMUSG00000097624	Gm5091
84	ENSMUSG00000071104	Ccdc110
85	ENSMUSG00000094589	Vmn1r118
86	ENSMUSG00000097350	4732491K20Rik
87	ENSMUSG00000094119	Olfr612
88	ENSMUSG00000095833	Gm21951
89	ENSMUSG00000067855	Speer3
90	ENSMUSG00000097049	6530411M01Rik
91	ENSMUSG00000001119	Col6a1
92	ENSMUSG00000095390	Olfr229
93	ENSMUSG00000096737	Vmn1r117
94	ENSMUSG00000009900	Wnt3a
95	ENSMUSG00000097796	Gm16702
96	ENSMUSG00000056718	Gm13199
97	ENSMUSG00000049606	Zfp644
98	ENSMUSG00000096584	Olfr611
99	ENSMUSG00000041710	Trpc5
100	ENSMUSG00000097103	Gm2885
101	ENSMUSG00000020747	2310067B10Rik
102	ENSMUSG00000051729	Gm5087
103	ENSMUSG00000095973	Vmn1r116
104	ENSMUSG00000025579	Gaa
105	ENSMUSG00000097723	Gm26848
106	ENSMUSG00000094449	Olfr972
107	ENSMUSG00000045584	Olfr610
108	ENSMUSG00000097460	Gm26734
109	ENSMUSG00000087668	Gm11186
110	ENSMUSG00000085871	Gm12698
111	ENSMUSG00000032413	Rasa2
112	ENSMUSG00000097879	Gm26869
113	ENSMUSG00000021939	Ctsb
114	ENSMUSG00000083442	Gm11187
115	ENSMUSG00000041134	Cyyr1
116	ENSMUSG00000046396	Olfr609
117	ENSMUSG00000091435	Vmn1r115
118	ENSMUSG00000028738	Tas1r2
119	ENSMUSG00000043461	Sptssb
120	ENSMUSG00000039982	Dtx4
121	ENSMUSG00000097514	Gm17619
122	ENSMUSG00000093934	Olfr971
123	ENSMUSG00000031636	Pdlim3
124	ENSMUSG00000031864	Ints10
125	ENSMUSG00000096907	Gm6113
126	ENSMUSG00000073948	Olfr608
